gamma,iterations,time,rewards,delta
0.2,2,0.0004990100860595703,1.0666666666666667,0.13333333333333333
0.4,5,0.0012829303741455078,1.2029432098765431,0.006320987654320986
0.8,15,0.0036051273345947266,1.7576771086254144,0.0020661389544979203
0.99,176,0.0589900016784668,2.6808437530487748,9.880778996532169e-05
