gamma,iterations,time,rewards,delta
0.2,2,0.0001480579376220703,1.0666666666666667,0.06666666666666667
0.4,4,0.0003428459167480469,1.1783703703703703,0.01422222222222222
0.8,15,0.000885009765625,1.6297020017047599,0.0022996240492369757
0.99,203,0.015169143676757812,2.5881492246750346,9.990762881995074e-05
