gamma,iterations,time,rewards,delta
0.2,4,0.0019330978393554688,1.0769747574062731,1.3877787807814457e-17
0.4,4,0.001149892807006836,1.1829959907267649,2.7755575615628914e-17
0.8,4,0.0011599063873291016,1.632586583316214,2.220446049250313e-16
0.99,7,0.0020449161529541016,2.5885122904466336,4.440892098500626e-16
