gamma,iterations,time,rewards,delta
0.2,4,0.0003509521484375,50.03672,0.0058320000000009475
0.4,6,0.0005571842193603516,50.172394496,0.006046617599999693
0.8,20,0.0020051002502441406,51.646683657328055,0.0019467824935617273
0.99,95,0.014127731323242188,116.3056496965504,9.92288303578448e-05
