epsilonDecay,iterations,time,rewards,delta
5e-06,5000000,155.976069688797,1.0,0.008039894777005868
5e-05,5000000,161.91981601715088,0.0,0.0017962784470958904
0.0005,5000000,162.5660891532898,1.0,0.007584182383182638
0.005,5000000,161.9690899848938,0.0,0.0013237696031530124
