iterations,time,rewards,delta
1,3.886222839355469e-05,50.0,50.0
2,0.00010895729064941406,50.0,35.0
3,0.00017189979553222656,50.576,24.92
4,0.0002307891845703125,50.62208,17.144000000000005
5,0.0002899169921875,50.9575424,11.918528
6,0.0003478527069091797,51.010921472,8.581340160000005
7,0.0004029273986816406,57.918696857600004,6.178564915200006
8,0.00045990943908691406,58.50206523392001,4.448566738944001
9,0.0005166530609130859,59.04900483901031,3.202968052039676
10,0.0005717277526855469,59.428780192177854,2.3061369974685633
11,0.0006277561187744141,59.77419943296327,1.6604186381773705
12,0.0006840229034423828,60.02058357565061,1.1955014194877052
13,0.0007469654083251953,61.17409202539065,0.8607610220311486
14,0.0008029937744140625,61.408289967557764,0.6197479358624349
15,0.0008587837219238281,61.60682756542942,0.446218513820952
16,0.0009148120880126953,61.75760858794741,0.32127732995108005
17,0.0009708404541015625,61.88402872612293,0.23131967756478033
18,0.0010259151458740234,61.980992206147334,0.16655016784664234
19,0.0010869503021240234,62.19180312444417,0.1199161208495827
20,0.0011429786682128906,62.26451896240197,0.08633960701169485
21,0.0011980533599853516,62.32424905876305,0.06216451704842996
22,0.0012516975402832031,62.37091178913564,0.04475845227486985
23,0.001306772232055664,62.40904934306943,0.03222608563790175
24,0.001361846923828125,62.43897808007874,0.023202781659284355
25,0.001416921615600586,62.48148329501362,0.016706002794688146
26,0.0014719963073730469,62.50212266472577,0.012028322012177739
27,0.001531839370727539,62.518851131848784,0.008660391848763993
28,0.0015869140625,62.532077686172826,0.0062354821311068065
29,0.001641988754272461,62.542771407581604,0.004489547134397753
30,0.001695871353149414,62.55124540058495,0.0032324739367677324
31,0.0017518997192382812,62.560610574137044,0.0023273812344690725
