iterations,time,rewards,delta
1,0.002474069595336914,51.674418604651166,34.69860465116279
2,0.004831790924072266,51.674418604651166,24.401600000000006
3,0.00716090202331543,51.674418604651166,16.987756651162794
4,0.00946497917175293,51.674418604651166,11.649789440000005
5,0.011760950088500977,51.674418604651166,7.806453047962796
6,0.014016151428222656,51.674418604651166,5.039250845696003
7,0.01635909080505371,51.674418604651166,3.046865260063914
8,0.018655061721801758,51.674418604651166,1.6123476384088091
9,0.020898818969726562,51.674418604651166,0.579494950817133
10,0.023216962814331055,51.674418604651166,7.105427357601002e-15
