iterations,time,rewards,delta
10000,1.72822904586792,0.0,0.0
20000,3.5117459297180176,0.0,0.0
30000,5.083274841308594,0.0,0.0
40000,6.647839069366455,0.0,0.0
50000,8.361982107162476,0.0,0.0
60000,10.093659162521362,0.0,0.0
70000,11.809800148010254,0.0,0.0
80000,13.580433130264282,0.0,0.0
90000,15.320212125778198,0.0,0.0
100000,16.90715503692627,0.0,0.0
110000,18.61018681526184,0.0,0.0
120000,20.278375148773193,0.0,0.0
130000,21.814477920532227,0.0,0.0
140000,23.4981951713562,0.0,0.0
150000,25.250765085220337,0.0,0.0
160000,26.90663480758667,0.0,0.0
170000,28.539451122283936,0.0,0.0
180000,30.28944706916809,0.0,0.0
190000,32.013522148132324,0.0,0.0
200000,33.58449101448059,0.0,0.0
210000,35.19783115386963,0.0,0.0
220000,36.816969871520996,0.0,0.0
230000,38.49278497695923,0.0,0.0
240000,40.139679193496704,0.0,0.0
250000,41.84459686279297,0.0,0.0
260000,43.670900106430054,0.0,0.0
270000,45.345197916030884,0.0,0.0
280000,47.07409906387329,0.0,0.0
290000,48.81558322906494,0.0,0.0
300000,50.5074200630188,0.0,0.0
310000,52.17136907577515,0.0,0.0
320000,53.880950927734375,0.0,0.0
330000,55.5652220249176,0.0,0.0
340000,57.218053102493286,0.0,0.0
350000,58.94287705421448,0.0,0.0
360000,60.58758997917175,0.0,0.0
370000,62.28784990310669,0.0,0.0
380000,63.97368502616882,0.0,0.0
390000,65.73662400245667,0.0,0.0
400000,67.29426598548889,0.0,0.0
410000,68.96670603752136,0.0,0.0
420000,70.66478991508484,0.0,0.0
430000,72.31481909751892,0.0,0.0
440000,73.98906588554382,0.0,0.0
450000,75.70969200134277,0.0,0.0
460000,77.37921094894409,0.0,0.0
470000,79.06833910942078,0.0,0.0
480000,80.7796151638031,0.0,0.0
490000,82.47129893302917,0.0,0.0
500000,84.17937922477722,0.0,0.0
510000,85.8206160068512,0.0,0.0
520000,87.43939590454102,0.0,0.0
530000,89.11735892295837,0.0,0.0
540000,90.85858511924744,0.0,0.0
550000,92.40004396438599,0.0,0.0
560000,94.16955804824829,0.0,0.0
570000,95.73493909835815,0.0,0.0
580000,97.40298581123352,0.0,0.0
590000,99.0989100933075,0.0,0.0
600000,100.77481007575989,0.0,0.0
610000,102.57092905044556,0.0,0.0
620000,104.29787302017212,0.0,0.0
630000,105.82966589927673,0.0,0.0
640000,107.4176778793335,0.0,0.0
650000,109.1057059764862,0.0,0.0
660000,110.75049591064453,0.0,0.0
670000,112.33224487304688,0.0,0.0
680000,114.00651788711548,0.0,0.0
690000,115.64384818077087,0.0,0.0
700000,117.39397287368774,0.0,0.0
710000,119.0413658618927,0.0,0.0
720000,120.68422293663025,0.0,0.0
730000,122.22637605667114,0.0,0.0
740000,123.9241271018982,0.0,0.0
750000,125.6113350391388,0.0,0.0
760000,127.21775698661804,0.0,0.0
770000,128.88348722457886,0.0,0.0
780000,130.53925395011902,0.0,0.0
790000,132.26417708396912,0.0,0.0
800000,133.97007203102112,0.0,0.0
810000,135.66558718681335,0.0,0.0
820000,137.29544806480408,0.0,0.0
830000,138.97102999687195,0.0,0.0
840000,140.6611089706421,0.0,0.0
850000,142.26572680473328,0.0,0.0
860000,143.88931608200073,0.0,0.0
870000,145.63444709777832,0.0,0.0
880000,147.26641392707825,0.0,0.0
890000,148.98631501197815,0.0,0.0
900000,150.63002109527588,0.0,0.0
910000,152.29571914672852,0.0,0.0
920000,153.95893383026123,0.0,0.0
930000,155.74204206466675,0.0,0.0
940000,157.529541015625,0.0,0.0
950000,159.28022003173828,0.0,0.0
960000,160.8528699874878,0.0,0.0
970000,162.47139501571655,0.0,8.019450426067435e-19
980000,164.2637858390808,0.0,0.0
990000,165.96662402153015,0.0,1.0287958584575469e-10
1000000,167.63001990318298,0.0,0.0
