iterations,time,rewards,delta
10000,1.9105570316314697,0.0,0.0
20000,3.862823009490967,0.0,0.0
30000,5.769320964813232,0.0,0.0
40000,7.4881250858306885,0.0,0.0
50000,9.372339963912964,0.0,0.0
60000,11.182829141616821,0.0,0.0
70000,12.915865182876587,0.0,0.0
80000,14.891633033752441,0.0,0.0
90000,16.946310997009277,0.0,0.0
100000,18.861231088638306,0.0,0.0
110000,20.700510025024414,0.0,0.0
120000,22.608551025390625,0.0,0.0
130000,24.550350189208984,0.0,0.0
140000,26.703460216522217,0.0,0.0
150000,28.552582025527954,0.0,0.0
160000,30.681557178497314,0.0,0.0
170000,32.72037887573242,0.0,0.0
180000,34.58453416824341,0.0,0.0
190000,36.36963105201721,0.0,0.0
200000,38.164085149765015,0.0,0.0
210000,39.94930624961853,0.0,0.0
220000,41.717175006866455,0.0,0.0
230000,43.58073306083679,0.0,0.0
240000,45.40592408180237,0.0,0.0
250000,47.31270718574524,0.0,0.0
260000,49.10089302062988,0.0,0.0
270000,50.95992708206177,0.0,0.0
280000,52.72817802429199,0.0,0.0
290000,54.48057699203491,0.0,0.0
300000,56.33939504623413,0.0,0.0
310000,58.150397062301636,0.0,0.0
320000,59.961801052093506,0.0,0.0
330000,61.9272620677948,0.0,0.0
340000,63.854674100875854,0.0,0.0
350000,65.74336004257202,0.0,0.0
360000,67.47526407241821,0.0,0.0
370000,69.30161619186401,0.0,0.0
380000,71.21806120872498,0.0,2.869083758538383e-13
390000,73.25517010688782,0.0,0.0
400000,75.08526706695557,0.0,0.0
410000,76.89547228813171,0.0,0.0
420000,78.81890106201172,0.0,0.0
430000,80.55068016052246,0.0,8.431426053176348e-16
440000,82.31669306755066,0.0,0.0
450000,84.08262920379639,0.0,0.0
460000,85.93515229225159,0.0,0.0
470000,87.79271721839905,0.0,0.0
480000,89.62873601913452,0.0,0.0
490000,91.5993139743805,0.0,0.0
500000,93.48709511756897,0.0,0.0
510000,95.55441522598267,0.0,0.0
520000,97.43264508247375,0.0,0.0
530000,99.4276192188263,0.0,0.0
540000,101.38270497322083,0.0,0.0
550000,103.31217527389526,0.0,0.0
560000,105.45573711395264,0.0,0.0
570000,107.40336418151855,0.0,0.0
580000,109.2326021194458,0.0,0.0
590000,111.0223560333252,0.0,0.0
600000,112.91092896461487,0.0,0.0
610000,114.72105813026428,0.0,0.0
620000,116.65710425376892,0.0,0.0
630000,118.64381122589111,0.0,0.0
640000,120.63168406486511,0.0,0.0
650000,122.42227625846863,0.0,0.0
660000,124.28755307197571,0.0,0.0
670000,126.06158328056335,0.0,0.0
680000,127.88108801841736,0.0,0.0
690000,129.8381519317627,0.0,0.0
700000,131.57947611808777,0.0,0.0
710000,133.28103399276733,0.0,1.7690843935829712e-07
720000,135.16079020500183,0.0,0.0
730000,136.86136198043823,0.0,0.0
740000,138.6769721508026,0.0,0.0
750000,140.74512100219727,0.0,0.0
760000,142.57844305038452,0.0,0.0
770000,144.32638597488403,0.0,0.0
780000,146.1307590007782,0.0,0.0
790000,147.85274600982666,0.0,0.0
800000,149.88999819755554,0.0,0.0
810000,151.72633600234985,0.0,0.0
820000,153.50782108306885,0.0,0.0
830000,155.22565603256226,0.0,0.0
840000,157.22670221328735,0.0,0.0
850000,158.94425916671753,0.0,0.0
860000,160.68476700782776,0.0,0.0
870000,162.54238104820251,0.0,0.0
880000,164.49130296707153,0.0,0.0
890000,166.31222200393677,0.0,0.0
900000,168.24113416671753,0.0,0.0
910000,170.16830611228943,0.0,0.0
920000,172.09979701042175,0.0,0.0
930000,174.08582091331482,0.0,0.0
940000,175.99946308135986,0.0,0.0
950000,177.9529778957367,0.0,0.0
960000,179.93665218353271,0.0,0.0
970000,181.96910214424133,0.0,0.0
980000,183.66400527954102,0.0,0.0
990000,185.4569571018219,0.0,0.0
1000000,187.2969491481781,0.0,0.0
