epsilon,iterations,time,rewards,delta
0.3,1000000,149.3219919204712,0.0,0.0
0.5,1000000,167.63001990318298,0.0,0.0
0.7,1000000,170.51280999183655,0.0,0.0
0.9,1000000,167.37558388710022,0.0,0.0
