epsilonDecay,iterations,time,rewards,delta
5e-06,40017,11.100723000000022,0.0,3.207774755150117e-10
5e-05,41662,35.9254460000005,0.0,1.0083560764601413e-11
0.0005,41105,41.94294000000164,1.0,3.790350800252144e-09
0.005,40002,17.59917200000001,0.0,0.0
