iterations,values
16500,[0.52400463 0.18327234 0.03840743 0.01771327 0.66419965 0. 0.0301644  0.         0.19978518 0.66856334 0.92152522 0. 0.         0.76153519 0.99884096 0.        ]
17000,[7.38986539e-02 1.52596028e-02 4.56331329e-03 9.96226332e-02 7.35787167e-02 0.00000000e+00 6.00773192e-05 0.00000000e+00 1.98086899e-02 7.81678569e-01 4.13575211e-01 0.00000000e+00 0.00000000e+00 7.50397428e-01 9.77100326e-01 0.00000000e+00]
17500,[0.1224894  0.20800452 0.09301141 0.02206784 0.30991085 0. 0.00788229 0.         0.72964227 0.17726873 0.0785902  0. 0.         0.37827158 0.98978653 0.        ]
18000,[1.88473530e-01 1.74478039e-02 6.81474164e-03 6.07121708e-03 5.28431221e-01 0.00000000e+00 1.70275339e-04 0.00000000e+00 6.64166761e-01 1.38914482e-01 8.52680468e-01 0.00000000e+00 0.00000000e+00 8.39996347e-01 9.98802839e-01 0.00000000e+00]
18500,[0.29580818 0.51631197 0.14536399 0.01053928 0.11274853 0. 0.00731071 0.         0.63890687 0.13436572 0.86200151 0. 0.         0.92592631 0.99998783 0.        ]
19000,[8.66248559e-03 1.23118653e-02 1.63244326e-02 1.41189942e-02 2.05466467e-03 0.00000000e+00 3.52651976e-04 0.00000000e+00 1.87313556e-03 2.86354364e-04 1.62853742e-02 0.00000000e+00 0.00000000e+00 5.25768970e-01 9.52662063e-01 0.00000000e+00]
19500,[0.35790558 0.06430881 0.03186115 0.00885241 0.30496235 0. 0.06702299 0.         0.48128767 0.60739089 0.84025063 0. 0.         0.74084534 0.59549003 0.        ]
20000,[0.11100526 0.16498288 0.08498402 0.03607162 0.33113301 0. 0.00998384 0.         0.55791301 0.43058619 0.12857993 0. 0.         0.70502366 0.97021341 0.        ]
20500,[0.13602133 0.1792097  0.30273668 0.19275279 0.184124   0. 0.03115466 0.         0.59002142 0.12998874 0.01824323 0. 0.         0.1881328  0.59132014 0.        ]
21000,[0.48184604 0.10228003 0.1060866  0.08591436 0.16968872 0. 0.00109894 0.         0.08112104 0.6053495  0.80587955 0. 0.         0.59564287 0.98678304 0.        ]
21500,[0.07299652 0.07370828 0.05318206 0.00718217 0.43964365 0. 0.01698172 0.         0.11524338 0.01429839 0.20153068 0. 0.         0.69546873 0.92353899 0.        ]
22000,[0.06683122 0.05483875 0.05816929 0.01705513 0.02941372 0. 0.01034741 0.         0.08571094 0.32205788 0.45518589 0. 0.         0.83831466 0.98973945 0.        ]
22500,[0.27723607 0.42715382 0.13896576 0.01710558 0.30958723 0. 0.01818296 0.         0.42988109 0.55640136 0.12378175 0. 0.         0.80569802 0.98741079 0.        ]
23000,[0.03845948 0.01398322 0.06557558 0.06560047 0.2804854  0. 0.69760704 0.         0.44746288 0.83154602 0.67669773 0. 0.         0.87106848 0.99082139 0.        ]
23500,[0.09100363 0.06744653 0.03124971 0.01913288 0.23998583 0. 0.01990853 0.         0.71179256 0.81831166 0.23991909 0. 0.         0.93269078 0.98993168 0.        ]
24000,[0.33821414 0.04787661 0.04604425 0.02404674 0.23926885 0. 0.02232728 0.         0.42369182 0.63081915 0.94044371 0. 0.         0.92075182 0.99999441 0.        ]
24500,[4.23426352e-01 5.13580580e-02 2.01549618e-02 7.54451613e-03 1.86441471e-01 0.00000000e+00 8.28448144e-05 0.00000000e+00 5.82901188e-01 8.65766203e-01 9.48442513e-02 0.00000000e+00 0.00000000e+00 7.55061565e-01 8.82536866e-01 0.00000000e+00]
25000,[0.33404267 0.21566113 0.04501549 0.0110774  0.28405203 0. 0.00173509 0.         0.16955281 0.62261443 0.92386831 0. 0.         0.76193809 0.99976379 0.        ]
25500,[0.30928666 0.20884472 0.12242637 0.02923679 0.45745868 0. 0.00106229 0.         0.4993562  0.21112319 0.02757054 0. 0.         0.58739408 0.95445743 0.        ]
26000,[0.13390881 0.06362154 0.0881308  0.02458288 0.13539379 0. 0.10960066 0.         0.1928737  0.26538938 0.76912778 0. 0.         0.53440125 0.79657777 0.        ]
26500,[2.25208763e-02 3.71348443e-03 1.23877140e-03 1.51210493e-03 2.25869201e-02 0.00000000e+00 9.57216087e-05 0.00000000e+00 7.46439466e-03 4.19059763e-03 8.51097549e-01 0.00000000e+00 0.00000000e+00 5.47071026e-01 9.99534433e-01 0.00000000e+00]
27000,[0.07499584 0.04811247 0.01056615 0.00247032 0.03266047 0. 0.0114778  0.         0.60780682 0.07076326 0.08266772 0. 0.         0.79826433 0.89958258 0.        ]
27500,[0.06679112 0.14001695 0.0859408  0.02844433 0.1143244  0. 0.0082376  0.         0.37631196 0.7509018  0.90164924 0. 0.         0.50568211 0.99576663 0.        ]
28000,[5.57411914e-01 1.10985409e-01 3.15432150e-01 6.03604512e-02 1.70095076e-01 0.00000000e+00 9.89050131e-05 0.00000000e+00 1.31840161e-01 6.23219405e-01 5.67143914e-01 0.00000000e+00 0.00000000e+00 6.19539893e-01 9.55380362e-01 0.00000000e+00]
28500,[0.41015978 0.03859196 0.06157838 0.01157713 0.51175264 0. 0.535807   0.         0.50463792 0.8586296  0.88427359 0. 0.         0.59418543 0.98772847 0.        ]
29000,[0.19594431 0.05465263 0.03188508 0.02857733 0.1693207  0. 0.00317126 0.         0.05922536 0.58148788 0.91175765 0. 0.         0.92779405 0.99506869 0.        ]
29500,[1.61946248e-01 5.24344711e-02 7.06852444e-02 1.85027520e-02 3.69391837e-01 0.00000000e+00 8.04118199e-04 0.00000000e+00 6.03490841e-01 8.55777898e-01 9.92492933e-02 0.00000000e+00 0.00000000e+00 6.41894999e-01 9.64218572e-01 0.00000000e+00]
30000,[0.08678639 0.48875565 0.05976409 0.04910997 0.1002258  0. 0.00638534 0.         0.48585615 0.43725351 0.71199828 0. 0.         0.89618776 0.99501312 0.        ]
30500,[0.27797767 0.21096927 0.00955473 0.00287729 0.5905766  0. 0.06615248 0.         0.6952194  0.89240393 0.84436312 0. 0.         0.84568985 0.98380669 0.        ]
31000,[0.52310625 0.10942154 0.04390916 0.01932045 0.47893665 0. 0.00310901 0.         0.27739002 0.72396873 0.92994247 0. 0.         0.10897585 0.99923228 0.        ]
31500,[0.42224905 0.29892992 0.03640802 0.02432894 0.70726047 0. 0.00902963 0.         0.69131498 0.51996932 0.55028719 0. 0.         0.64331994 0.96911117 0.        ]
32000,[1.39062702e-01 1.10138104e-01 7.41668554e-03 3.70610530e-02 1.18131500e-01 0.00000000e+00 7.20291183e-05 0.00000000e+00 1.08612130e-01 7.94328527e-01 4.48292101e-02 0.00000000e+00 0.00000000e+00 9.39439746e-01 9.99536060e-01 0.00000000e+00]
32500,[0.36457494 0.08703641 0.37827054 0.02948061 0.43673204 0. 0.00393958 0.         0.33558055 0.3533555  0.07102419 0. 0.         0.25404863 0.92073025 0.        ]
