iterations,values
500,[0.40974639 0.32499101 0.30018213 0.32019677 0.35445067 0. 0.05805621 0.         0.73289171 0.6931917  0.69786698 0. 0.         0.91256669 0.98331669 0.        ]
1000,[0.15466752 0.10061684 0.10608324 0.08908553 0.12649293 0. 0.08359664 0.         0.1264897  0.12095257 0.07288525 0. 0.         0.62352582 0.64302691 0.        ]
1500,[0.13880338 0.38443875 0.12806615 0.00803143 0.09689325 0. 0.00100918 0.         0.31719428 0.42078236 0.15689907 0. 0.         0.13711316 0.91246027 0.        ]
2000,[0.18252466 0.06203623 0.05111074 0.03530893 0.3699575  0. 0.00104669 0.         0.65906456 0.18463417 0.02813333 0. 0.         0.86299023 0.98993677 0.        ]
2500,[0.05522192 0.5972435  0.13803846 0.01606223 0.15071934 0. 0.07825284 0.         0.27273343 0.87409294 0.76247965 0. 0.         0.68951423 0.50245685 0.        ]
3000,[0.26071276 0.18446469 0.06699944 0.01638637 0.45313729 0. 0.00439958 0.         0.67225962 0.2076957  0.06921176 0. 0.         0.83768932 0.99980859 0.        ]
3500,[0.06296722 0.05985434 0.05883356 0.10328139 0.06040187 0. 0.0508403  0.         0.11549478 0.36188634 0.64921827 0. 0.         0.33451321 0.98389965 0.        ]
4000,[0.23388524 0.02463459 0.03084666 0.01504532 0.53682572 0. 0.06816674 0.         0.60505393 0.77927847 0.83686425 0. 0.         0.91912119 0.99969492 0.        ]
4500,[2.22041109e-02 9.00776582e-03 5.27876409e-03 4.97371818e-03 3.38439927e-02 0.00000000e+00 4.09747677e-05 0.00000000e+00 3.94515343e-02 4.05892241e-01 4.70246901e-02 0.00000000e+00 0.00000000e+00 2.95896059e-01 9.62099614e-01 0.00000000e+00]
5000,[0.04263832 0.04751595 0.04924462 0.02137249 0.0516998  0. 0.05804975 0.         0.13577888 0.11407047 0.77275406 0. 0.         0.71898408 0.98577909 0.        ]
5500,[4.01253162e-01 3.53506079e-01 6.68365031e-03 3.74923217e-03 4.98364572e-01 0.00000000e+00 6.77033422e-04 0.00000000e+00 1.48624971e-01 9.78558007e-02 7.64842974e-01 0.00000000e+00 0.00000000e+00 7.17235879e-01 9.85105786e-01 0.00000000e+00]
6000,[0.3145737  0.04628196 0.01061074 0.00571168 0.26603391 0. 0.0744114  0.         0.11812219 0.07560804 0.00855287 0. 0.         0.6368455  0.98083695 0.        ]
6500,[5.81178966e-02 3.82100320e-02 5.55076806e-03 5.35143055e-03 4.87815150e-02 0.00000000e+00 1.37767195e-05 0.00000000e+00 1.56930877e-02 7.00108537e-03 1.52228137e-04 0.00000000e+00 0.00000000e+00 5.23145452e-01 9.68637365e-01 0.00000000e+00]
7000,[0.07809811 0.10804493 0.2614992  0.05913294 0.40656362 0. 0.02088009 0.         0.21073529 0.74011105 0.86560924 0. 0.         0.92500771 0.99393904 0.        ]
7500,[0.05922918 0.05368173 0.05283703 0.02789357 0.51843625 0. 0.002401   0.         0.54966401 0.15364461 0.0317621  0. 0.         0.90634116 0.99028276 0.        ]
8000,[0.33432041 0.22193868 0.20714786 0.02780008 0.498441   0. 0.0895002  0.         0.58429835 0.84671267 0.93062157 0. 0.         0.93872134 0.9907836  0.        ]
8500,[0.16145797 0.04546257 0.00575046 0.00282244 0.07818556 0. 0.01316493 0.         0.10204432 0.63731876 0.05141702 0. 0.         0.18932005 0.91436704 0.        ]
9000,[4.30495799e-01 4.31073989e-02 3.55017671e-02 6.36912078e-03 4.18003717e-01 0.00000000e+00 7.73235847e-04 0.00000000e+00 4.63257636e-01 7.44418647e-01 2.46875038e-02 0.00000000e+00 0.00000000e+00 9.26658479e-01 9.98869325e-01 0.00000000e+00]
9500,[0.00337396 0.00266226 0.0043881  0.00508931 0.00216528 0. 0.01454954 0.         0.00144688 0.26052651 0.14135928 0. 0.         0.04792376 0.10721515 0.        ]
