epsilon,iterations,time,rewards,delta
0.3,40002,16.486878000000083,0.0,0.0
0.5,41105,39.16403500000051,1.0,3.790350800252144e-09
0.7,40013,38.99786899999925,0.0,5.081217637934057e-21
0.9,40003,38.04803999999946,0.0,1.159452275747532e-09
