iterations,time,rewards,delta
8000,0.25054001808166504,0.0,0.025103924726406962
16000,0.4936850070953369,0.0,0.004706826376560784
24000,0.7307870388031006,50.0,0.003938553317294037
32000,0.9695079326629639,50.0,0.0035506184719535697
40000,1.205993890762329,0.0,0.004310851616241493
48000,1.4660000801086426,0.0,0.00492199707006273
56000,1.6991629600524902,50.0,0.0029736816034340165
64000,1.9270100593566895,0.0,0.0058264535503631835
72000,2.163970947265625,0.0,0.006176028776168678
80000,2.394798994064331,0.0,0.006520705233769036
88000,2.6377930641174316,0.0,0.0017219448314342856
96000,2.883749008178711,50.0,0.002210158745624682
104000,3.1770670413970947,0.0,0.004742000372292935
112000,3.4947948455810547,50.0,0.001958751839057939
120000,3.8098270893096924,0.0,0.0014578169313425064
128000,4.1178789138793945,0.0,0.0261923392395572
136000,4.436485052108765,0.0,0.0021803573128297985
144000,4.750661134719849,0.0,0.0012593812628670094
152000,5.035401821136475,0.0,0.005393235934937209
160000,5.2832560539245605,1.0,0.033050650135043456
168000,5.521456956863403,50.0,0.0011143666915454276
176000,5.756265878677368,0.0,0.005129503457091516
184000,5.987912893295288,0.0,0.004775358754234347
192000,6.220660924911499,0.0,0.001775218805788768
200000,6.4523398876190186,0.0,0.0010928119185824414
208000,6.684151887893677,50.0,0.0009963557475363984
216000,6.91686487197876,0.0,0.0017656900086700917
224000,7.150115013122559,0.0,0.0018940276017890766
232000,7.383924961090088,50.0,0.0007423910277318556
240000,7.6134209632873535,0.0,0.004684845125622729
248000,7.8447511196136475,0.0,0.00477532416717699
256000,8.097722053527832,0.0,0.003701230261173393
264000,8.369224786758423,0.0,0.001475477817302675
272000,8.65277099609375,0.0,0.004730749056658624
280000,8.900142908096313,1.0,0.024165805802102397
288000,9.192445039749146,0.0,0.002707571564637817
296000,9.43409514427185,50.0,0.0004938913732648019
304000,9.674668073654175,0.0,0.003440524753275852
312000,9.924520015716553,50.0,0.00044619677651218126
320000,10.241566896438599,0.0,0.003121117216427052
328000,10.53600001335144,0.0,0.0006950789583916475
336000,10.838398218154907,0.0,0.0007478830931619314
344000,11.120963096618652,0.0,0.01149754942825507
352000,11.439130067825317,0.0,0.0020164418099884217
360000,11.725980997085571,0.0,0.0007575508467311493
368000,12.026662111282349,50.0,0.0003899806512721682
376000,12.324060201644897,0.0,0.004102701383302275
384000,12.638833999633789,0.0,0.0014278091839196208
392000,12.950111865997314,0.0,0.0013160499456324856
400000,13.224039077758789,0.0,0.002498522957851364
408000,13.50949501991272,0.0,0.0006702194929473535
416000,13.820334911346436,0.0,0.004132390316335233
424000,14.11732006072998,0.0,0.004402046059040714
432000,14.446704149246216,0.0,0.003468248273507925
440000,14.756400108337402,0.0,0.002156617900466969
448000,15.035649061203003,0.0,0.0031726652762742165
456000,15.315305948257446,0.0,0.003220195727157204
464000,15.62766718864441,1.0,0.00719171735843473
472000,15.913662195205688,50.0,0.0001519025955467157
480000,16.163098096847534,0.0,0.0014744909877812944
488000,16.456422090530396,0.0,0.0023664731506957254
496000,16.767794132232666,0.0,0.0030836025929329765
504000,17.029134035110474,0.0,0.0004871000049047183
512000,17.336947202682495,0.0,0.0013140734479980694
520000,17.621171236038208,0.0,0.004714541902541015
528000,17.93765902519226,0.0,0.0006638811141724119
536000,18.25164794921875,0.0,0.00322872956633654
544000,18.532119035720825,50.0,0.00010686215541210232
552000,18.799177885055542,0.0,0.0018817153364832678
560000,19.051029920578003,0.0,0.0030497148334818294
568000,19.30321502685547,50.0,0.0001223147507090232
576000,19.551095008850098,50.0,0.00011038740431078509
584000,19.797116994857788,0.0,0.0013538951032620475
592000,20.029985904693604,0.0,0.00321294987243607
600000,20.269581079483032,50.0,9.359482786436501e-06
608000,20.536473989486694,0.0,0.003183003487227751
616000,20.778701066970825,0.0,0.002893261017947964
624000,21.0108380317688,0.0,0.0032820149955416016
632000,21.253427982330322,0.0,0.002115397279252676
640000,21.491003036499023,0.0,0.002028298734360405
648000,21.728363037109375,50.0,7.316923386994745e-05
656000,21.970815896987915,0.0,0.0013126580283459787
664000,22.206101894378662,0.0,0.0023645638119489123
672000,22.44789695739746,0.0,0.0039476039464164505
680000,22.68096399307251,50.0,7.648906074140882e-05
688000,22.920783042907715,0.0,0.0033752533399697597
696000,23.151789903640747,50.0,3.6545737325695884e-05
704000,23.398040056228638,0.0,0.0022878802769770346
712000,23.63119602203369,0.0,0.001419061594271156
720000,23.877371072769165,0.0,0.004025649951891723
728000,24.11448907852173,0.0,0.0029480059036707472
736000,24.382805824279785,0.0,0.03861880512398959
744000,24.627747058868408,0.0,0.0007574158216586398
752000,24.87390899658203,0.0,0.0026908673353804036
760000,25.125619888305664,0.0,0.004695442434965088
768000,25.375638008117676,0.0,0.004375471662543532
776000,25.61243987083435,0.0,0.0013658300789435459
784000,25.85714602470398,0.0,0.0029802116071610102
792000,26.119842052459717,0.0,0.0019854263388253486
800000,26.37882685661316,0.0,0.001241908754443571
